idDeputado;nome;sgUF;sgPartido;idLegislatura;situacao;condicaoEleitoral;produtividade_legislativa;gasto_ceap_ajustado;pct_andamento;pct_fracasso;pct_sucesso;temas_destaque;quadrante;ranking
204464;Talíria Petrone;RJ;PSOL;57;Exercício;Titular;183.20000000000002;520331.98;0.6128205128205129;0.382051282051282;0.005128205128205128;Direitos Humanos e Minorias, Administração Pública e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;26
220644;Rosangela Moro;SP;UNIÃO;57;Exercício;Titular;224.5;651116.63;0.7354988399071926;0.26218097447795824;0.002320185614849188;Saúde, Administração Pública e Direitos Humanos e Minorias;Alta produtividade e baixo custo;26
209787;Nikolas Ferreira;MG;PL;57;Exercício;Titular;199.4;599554.55;0.7023255813953488;0.2930232558139535;0.004651162790697674;Administração Pública, Direitos Humanos e Minorias e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;27
220646;Felipe Becari;SP;UNIÃO;57;Exercício;Titular;175.8;516646.12;0.611764705882353;0.38823529411764707;0.0;Meio Ambiente e Desenvolvimento Sustentável, Saúde e Administração Pública;Alta produtividade e baixo custo;28
220621;Sargento Gonçalves;RN;PL;57;Exercício;Titular;190.0;616715.55;0.7265415549597856;0.2707774798927614;0.002680965147453083;Administração Pública, Defesa e Segurança e Direitos Humanos e Minorias;Alta produtividade e baixo custo;29
220623;Duda Salabert;MG;PDT;57;Exercício;Titular;178.9;580910.09;0.7783783783783784;0.21351351351351353;0.008108108108108109;Meio Ambiente e Desenvolvimento Sustentável, Direitos Humanos e Minorias e Saúde;Alta produtividade e baixo custo;30
220568;Gustavo Gayer;GO;PL;57;Exercício;Titular;461.2;779261.97;0.8540965207631874;0.143658810325477;0.002244668911335578;Administração Pública, Saúde e Defesa e Segurança;Alta produtividade e baixo custo;31
220686;Duarte Jr.;MA;PSB;57;Exercício;Titular;337.1;759479.13;0.7479406919275123;0.24052718286655683;0.011532125205930808;Direitos Humanos e Minorias, Saúde e Administração Pública;Alta produtividade e baixo custo;31
220618;Sargento Portugal;RJ;PODE;57;Exercício;Titular;1257.0;793640.81;0.7974265918838667;0.2019135598812273;0.0006598482349059716;Defesa e Segurança, Administração Pública e Direitos Humanos e Minorias;Alta produtividade e baixo custo;32
220639;Guilherme Boulos;SP;PSOL;57;Exercício;Titular;169.70000000000002;590865.84;0.784741144414169;0.21525885558583105;0.0;Direitos Humanos e Minorias, Saúde e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;33
