id;uri;siglaTipo;codTipo;numero;ano;ementa;"id;""uri"";""siglaTipo"";""numero"";""ano"";""codTipo"";""descricaoTipo"";""ementa"";""ementaDetalhada"";""keywords"";""dataApresentacao"";""uriOrgaoNumerador"";""uriPropAnterior"";""uriPropPrincipal"";""uriPropPosterior"";""urlInteiroTeor"";""urnFinal"";""ultimoStatus_dataHora"";""ultimoStatus_sequencia"";""ultimoStatus_uriRelator"";""ultimoStatus_idOrgao"";""ultimoStatus_siglaOrgao"";""ultimoStatus_uriOrgao"";""ultimoStatus_regime"";""ultimoStatus_descricaoTramitacao"";""ultimoStatus_idTipoTramitacao"";""ultimoStatus_descricaoSituacao"";""ultimoStatus_idSituacao"";""ultimoStatus_despacho"";""ultimoStatus_apreciacao"";""ultimoStatus_url"""
2405601.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2405601;REQ;609.0;4006.0;2023;Requer o registro da Frente Parlamentar em Defesa do Livro, da Leitura e da Escrita.;
2363589.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2363589;EMC;130.0;75.0;2023;Dá nova redação à MPV 1164/2023;
;;;;;2025;;
2481015.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2481015;PL;139.0;4969.0;2024;Altera o Decreto-Lei nº 4.657, de 4 de setembro de 1942 (Lei de Introdução às Normas do Direito Brasileiro – LINDB), a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor – CDC), e a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil – CPC), para permitir a homologação e a produção de efeitos, no Brasil, de ações civis públicas estrangeiras e decisões relacionadas a direitos dos consumidores, com o objetivo de assegurar proteção isonômica aos consumidores brasileiros no contexto das relações globais de consumo.;
2353513.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2353513;PL;139.0;1415.0;2023;Altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para conceder mais garantias ao empregado em regime de teletrabalho ou trabalho remoto.;
2476795.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2476795;ATA;810.0;221.0;2024;Termo Solene nº 221 de 2024.;
2371143.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2371143;REQ;686.0;161.0;2023;Requer, nos termos regimentais, a realização do Fórum “Diabetes em Foco: compreendendo e gerenciando a doença”, no âmbito desta Comissão.;
2431014.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2431014;REQ;294.0;25.0;2024;Requer a inclusão de convidado na Audiência Pública aprovada por meio do Requerimento 01/2024, que visa discutir o tratamento concedido pelas operadoras de saúde aos beneficiários de planos coletivos.;
2402634.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2402634;REQ;354.0;3873.0;2023;Requer Moção de Louvor e Regozijo ao Sr. 3º Sargento PM Anderson de Freitas Belmont pelos excelentes serviços prestados à Sociedade Carioca e Fluminense.;
2454312.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2454312;PL;139.0;3253.0;2024;Dispõe sobre a manutenção do benefício de alimentação durante o período de licença médica para empregado acometido por doenças graves.;
2356465.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2356465;REQ;294.0;123.0;2023;Solicita que seja convocado o Excelentíssimo Senhor Fernando Haddad, Ministro da Fazenda, para que preste esclarecimentos sobre os indícios de “pedalada fiscal” do presidente Lula ao alterar, de forma artificial, a previsão de gastos com o INSS em 2023 para tentar encobrir um rombo de R$ 7,7 bilhões.;
2391415.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2391415;PL;139.0;4713.0;2023;Dispõe sobre o uso de escolas públicas e privadas como locais para ampliar a cobertura vacinal entre crianças e adolescentes, e dá outras providências.;
2459342.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2459342;PL;139.0;3730.0;2024;"""Proíbe a divulgação de jogos de apostas ou de azar, bem como de motéis ou sites de acompanhantes, em rede nacional no horário de classificação indicativa livre, e dá outras providências.""";
;;;;;2025;;
2434042.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2434042;INC;133.0;440.0;2024;Indicação ao Ministro da Educação, Sr. Camilo Santana, indicando adoção de medidas a serem adotadas no âmbito dos municípios que foram afetados pelas enchentes no Rio Grande do Sul.;
2451325.0;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2451325;PL;139.0;3082.0;2024;Altera a Lei n º 7.713, de 22 de dezembro de 1988, para isentar atletas e treinadores brasileiros do imposto de renda sobre premiações recebidas em competições esportivas.;
